episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
152, 1027.5470877885818, 1, 7.925595204000274, 429, 91931,                                             91931, 0.0, 4400.52978515625
153, -2855.463936328888, 2, 3.903759694999735, 188, 92119,                                             92119, 0.0, 4042.39794921875
154, -6910.075552165508, 2, 20.735572792000312, 1137, 93256,                                             93256, 0.0, 3615.281494140625
155, -2646.125048160553, 2, 3.302486248999685, 165, 93421,                                             93421, 0.0, 4096.17138671875
156, -3792.002941608429, 2, 10.534870994000357, 581, 94002,                                             94002, 0.0, 4101.2470703125
157, -3090.219063282013, 2, 3.9022594739999477, 206, 94208,                                             94208, 0.0, 3974.75634765625
158, -2886.9600905179977, 2, 5.120246373999635, 282, 94490,                                             94490, 0.0, 3817.2314453125
159, -7075.9698550105095, 2, 21.53916796500016, 1193, 95683,                                             95683, 0.0, 4292.4765625
160, 1564.5809516310692, 1, 5.123811669999668, 281, 95964,                                             95964, 0.0, 3521.906494140625
161, -5407.116377830505, 2, 11.922771799999737, 662, 96626,                                             96626, 0.0, 4022.323974609375
162, -2617.6687849760056, 2, 3.3013150199999473, 172, 96798,                                             96798, 0.0, 4625.19873046875
163, -4074.7362080812454, 2, 4.719515088999742, 258, 97056,                                             97056, 0.0, 3783.582275390625
164, -4268.808336675167, 2, 12.131183512000007, 646, 97702,                                             97702, 0.0, 3996.67138671875
165, 1179.2021037638187, 1, 7.528328983000392, 408, 98110,                                             98110, 0.0, 3824.82080078125
166, -2517.7119178771973, 2, 1.502181262999784, 67, 98177,                                             98177, 0.0, 3420.174560546875
167, -2489.681908905506, 2, 2.317437721999795, 117, 98294,                                             98294, 0.0, 3234.85205078125
168, -3492.852394580841, 2, 4.703319383999769, 244, 98538,                                             98538, 0.0, 4236.86474609375
169, 1964.6487745642662, 1, 3.318934033000005, 175, 98713,                                             98713, 0.0, 4345.82421875
170, -2408.8839987516403, 3, 1.2994534790000216, 50, 98763,                                             98763, 0.0, 3747.8505859375
171, -4122.732755899429, 2, 5.314299242000288, 274, 99037,                                             99037, 0.0, 3649.714111328125
172, -3351.7017760276794, 2, 6.707167936000133, 359, 99396,                                             99396, 0.0, 3879.697021484375
173, 2160.9937477111816, 1, 1.9170358100000158, 106, 99502,                                             99502, 0.0, 5134.18994140625
174, -5068.504410862923, 2, 12.333733520999886, 688, 100190,                                             100190, 0.0, 4223.94287109375
175, -3797.568791270256, 3, 7.72509233899973, 417, 100607,                                             100607, 0.0, 4223.27392578125
176, 1983.7672191858292, 1, 2.7008839970003464, 129, 100736,                                             100736, 0.0, 4509.08154296875
177, 239.80976471304893, 1, 12.531341874999725, 694, 101430,                                             101430, 0.0, 3817.06298828125
178, -2641.856852889061, 2, 2.1166603749998103, 107, 101537,                                             101537, 0.0, 3883.052490234375
179, -2513.905055165291, 2, 2.3223127530000056, 120, 101657,                                             101657, 0.0, 3897.407958984375
180, -5397.799915075302, 2, 14.131332211999961, 781, 102438,                                             102438, 0.0, 4057.096923828125
181, -3673.857539445162, 2, 9.318315830999836, 524, 102962,                                             102962, 0.0, 4141.34033203125
182, -3172.3442450761795, 3, 5.9052036460002455, 316, 103278,                                             103278, 0.0, 3895.478759765625
183, -3508.9392656087875, 2, 6.109020654000233, 327, 103605,                                             103605, 0.0, 4115.8779296875
