episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
146, -3811.0638375282288, 2, 3.9447563329999866, 211, 55615,                                             55615, 0.0, 6284.5087890625
147, -3326.019804120064, 2, 2.785848800999702, 156, 55771,                                             55771, 0.0, 6472.15869140625
148, -3980.8387320041656, 2, 4.843864864999887, 270, 56041,                                             56041, 0.0, 5905.3681640625
149, 1118.7481118440628, 1, 4.308620119999887, 242, 56283,                                             56283, 0.0, 6627.47900390625
150, -2847.3087725639343, 2, 2.4354263750001337, 121, 56404,                                             56404, 0.0, 7191.552734375
151, -2774.1281628608704, 2, 2.2102552259998447, 121, 56525,                                             56525, 0.0, 7367.7978515625
152, -4639.1720225811005, 2, 5.421110933999898, 293, 56818,                                             56818, 0.0, 6399.22705078125
153, -3135.253048181534, 2, 2.4070398849999037, 131, 56949,                                             56949, 0.0, 5939.89013671875
154, -3581.0227179527283, 2, 3.8926352149997, 210, 57159,                                             57159, 0.0, 7052.12255859375
155, -2751.1367959976196, 2, 2.1976544700000886, 123, 57282,                                             57282, 0.0, 6820.65087890625
156, -2835.4846637248993, 2, 2.156078568000339, 118, 57400,                                             57400, 0.0, 5986.1142578125
157, -3184.113933324814, 2, 3.5813854900002298, 196, 57596,                                             57596, 0.0, 6083.47314453125
158, -3340.787330389023, 2, 4.731948090999595, 264, 57860,                                             57860, 0.0, 7545.44189453125
159, -3061.1437559127808, 2, 2.665531515999646, 152, 58012,                                             58012, 0.0, 5970.33642578125
160, -2788.318211078644, 2, 2.552524960000028, 144, 58156,                                             58156, 0.0, 5996.0751953125
161, 1916.0004640221596, 1, 2.0919517799998175, 116, 58272,                                             58272, 0.0, 7968.47802734375
162, -2921.917183160782, 2, 2.9668900120000217, 151, 58423,                                             58423, 0.0, 6291.3505859375
163, -3258.8434727191925, 2, 3.322855240000081, 170, 58593,                                             58593, 0.0, 5839.24072265625
164, -4268.629918336868, 2, 5.525247829000364, 289, 58882,                                             58882, 0.0, 6273.2587890625
165, -3801.878681540489, 2, 6.075087953000093, 340, 59222,                                             59222, 0.0, 6078.1708984375
166, -3916.93796145916, 3, 5.959494702000029, 336, 59558,                                             59558, 0.0, 5365.10791015625
